Consumption_Country	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	proportion imported foorprint	Threatened_Animalia	Threatened_Plantae	Unique_Threatened_Species	Total_Threats	Population	Threat per capita	imported threats per capita
Ireland	1644	126	1773	835.8	0.4	1543	93	1639	322.8	4813608	0.000173633	6.70599E-05
Portugal	1144	350	1496	1710.7	0	583	148	731	36.2	10293718	0.000166189	3.51671E-06
Liberia	668	78	746	757.3	0	0	0	0	0	4731906	0.000160041	0
Macao SAR	45	3	48	99.4	0	0	0	0	0	622567	0.000159662	0
Lesotho	143	9	152	348.7	0	0	0	0	0	2233339	0.000156134	0
Laos	840	123	963	1066.2	0	0	0	0	0	6858160	0.000155464	0
Serbia	466	120	588	1090	0	196	61	258	15.7	7022268	0.000155221	2.23574E-06
Sierra Leone	639	107	746	1169.8	0	0	0	0	0	7557212	0.000154793	0
Madagascar	1560	700	2260	3795.8	0	365	2	367	13.5	25570895	0.000148442	5.27944E-07
Thailand	3100	366	3466	10036.2	0	1767	151	1918	375.7	69037513	0.000145373	5.44197E-06
Congo	615	83	698	735	0	6	1	7	0.2	5260750	0.000139714	3.80174E-08
Mauritania	485	13	498	612.4	0	37	1	38	0.4	4420184	0.000138546	9.0494E-08
Central African Republic	387	60	447	637.5	0	0	0	0	0	4659080	0.00013683	0
UAE	1142	93	1235	1267.6	0.1	1022	89	1111	161.9	9400145	0.000134849	1.72231E-05
Norway	563	101	676	709	0.1	452	82	541	53.2	5282223	0.000134224	1.00715E-05
Slovakia	395	112	511	711.2	0	236	77	314	16.6	5439892	0.000130738	3.05153E-06
Sri Lanka	935	90	1025	2750.1	0	316	4	320	54	21444000	0.000128246	2.51819E-06
Lebanon	501	64	565	773.4	0	279	30	309	16.4	6082357	0.000127155	2.69632E-06
El Salvador	635	78	713	790	0	423	39	462	16.2	6377853	0.000123866	2.54004E-06
Cuba	508	137	645	1384.4	0	0	0	0	0	11484636	0.000120544	0
Colombia	1930	225	2155	5690.1	0	69	7	76	2.3	49065615	0.000115969	4.6876E-08
Mongolia	186	21	207	350.1	0	0	0	0	0	3075647	0.00011383	0
Bulgaria	485	117	602	804.7	0	5	1	6	0.1	7075991	0.000113723	1.41323E-08
Mozambique	1091	158	1249	3302	0	106	7	113	2.7	29668834	0.000111295	9.10046E-08
Austria	515	119	642	938.1	0	227	27	254	16.8	8809212	0.000106491	1.90709E-06
Paraguay	204	71	275	722.6	0	0	0	0	0	6811297	0.000106088	0
Peru	1526	233	1759	3365.8	0	551	40	591	24.4	32165485	0.00010464	7.58577E-07
Togo	555	48	603	782.2	0	5	0	5	0.1	7797694	0.000100312	1.28243E-08
Dominican Republic	419	67	486	1069.1	0	4	0	4	0.1	10766998	9.92942E-05	9.28764E-09
Finland	281	56	344	533.6	0	170	17	188	8	5511303	9.68192E-05	1.45156E-06
Haiti	431	63	494	1040.4	0	0	0	0	0	10981229	9.47435E-05	0
Kyrgyzstan	179	31	210	574.7	0	18	0	18	0.3	6201500	9.26711E-05	4.83754E-08
