global_rank	consumption_country	finalsale_country	finalsale_industry	ANIMALIA	PLANTAE	aggregated_finalsale_threat_intensity	finalsale_threat_intensity_proportion	attributed_threat_intensity
314	Togo	Togo	Education, Health and Other Services	225	21	162.650323979557	1	162.650323979557
315	Singapore	Singapore	Producers of government services	709	11	162.809596791863	0.997274513013753	162.365861354571
316	Ukraine	Ukraine	Meat Products	424	97	168.999743953347	0.956962762442023	161.72646182559
317	Canada	USA	Fishing 	1203	603	1324.68891939521	0.121915636822598	161.500293199906
318	Tunisia	Tunisia	Education, Health and Other Services	165	50	161.126716315746	1	161.126716315746
319	Syria	Syria	Food & Beverages	253	25	170.13526199013	0.945204569910089	160.812627135921
320	Taiwan	Taiwan	Other Foods	660	7	170.623738542199	0.939071181947047	160.227835821047
321	Mauritius	Mauritius	Other professional, scientific and technical services 	534	5	242.470669388771	0.657555157445002	159.437839185728
322	Taiwan	Taiwan	Other Horticultural Crops	668	11	166.622420817614	0.955730693127131	159.246161738538
323	Bermuda	Bermuda	Education, Health and Other Services	173	18	158.183012031019	1	158.183012031019
324	Jordan	Jordan	Electricity, Gas and Water	303	1	157.799451947212	1	157.799451947212
325	Uzbekistan	Uzbekistan	Animal Husbandry	174	28	157.712925292552	1	157.712925292552
326	Peru	Peru	Government Services	560	50	156.319011561573	1	156.319011561573
327	Guinea	Guinea	Food & Beverages	222	47	163.978477858007	0.952034810246302	156.113219052025
328	Namibia	Namibia	Education, Health and Other Services	430	37	156.000309996307	1	156.000309996307
329	Pakistan	Pakistan	Construction	270	32	155.896207273006	0.996167021078724	155.298660396622
330	Algeria	Algeria	Construction	210	77	155.3784949705	0.998856468162124	155.20081471458
331	Australia	Papua New Guinea	Education, Health and Other Services	805	99	1297.74008364975	0.119024043838918	154.462272607849
332	Seychelles	Seychelles	Public Administration	459	13	154.686068542302	0.997351976656257	154.27645622185
333	Thailand	Thailand	Canning Preserving of Fish	984	103	405.583844423294	0.377975604623969	153.300798821608
334	Syria	Syria	Education, Health and Other Services	164	31	153.248791322112	1	153.248791322112
335	Benin	Benin	Food & Beverages	206	29	158.054636329412	0.968849990723049	153.131232941486
336	Spain	Spain	Restaurant services	470	223	153.003848388791	0.997871900534207	152.678240980771
337	Congo	Congo	Construction	294	45	156.480108864605	0.974820514175365	152.540020181612
338	Uganda	Uganda	Construction	387	55	152.574410766363	0.999378770237656	152.479627001423
339	Senegal	Senegal	Education, Health and Other Services	206	33	152.47155097127	1	152.47155097127
340	Haiti	Haiti	Construction	178	49	152.67602288723	0.998376324446823	152.428126561312
