Consumption_Country	domestic_consumption	imported_consumption	consumption_proportion	exported_production	net_imported_exported	net_consumption	net_threat_intensity
Seychelles	1464.09513303917	14.8495168536901	0.0100406170405133	1010.20776377618	-995.358246922493	1478.94464989286	468.736886116676
DR Congo	1336.05460975319	138.81275333371	0.0941188047196154	103.06642127037	35.7463320633397	1474.8673630869	1371.80094181653
Djibouti	1467.97504433896	4.92501997388899	0.00334375704993037	217.539233461022	-212.614213487133	1472.90006431285	1255.36083085183
UAE	725.345230847597	745.865227724425	0.506973848220446	284.673269690946	461.19195803348	1471.21045857202	1186.53718888108
Poland	945.577764677815	460.972235247493	0.327732562135702	168.811110874638	292.161124372855	1406.54999992531	1237.73888905067
Romania	1228.76109135337	159.611049311236	0.114962728389832	160.108536771499	-0.497487460263073	1388.37214066461	1228.26360389311
Guyana	515.820824326016	836.593239877373	0.618592531696386	3.17252059932798	833.420719278045	1352.41406420339	1349.24154360406
Ukraine	1051.27344533242	295.806444565766	0.219590869690826	322.947425955907	-27.140981390141	1347.07988989819	1024.13246394228
Vanuatu	1327.81492771301	5.84545261505991	0.0043830143725361	569.241245210171	-563.395792595111	1333.66038032807	764.419135117903
Fiji	1302.5602187505	10.1352531975135	0.00772094778575949	1002.73630926292	-992.60105606541	1312.69547194801	309.959162685089
Cameroon	1291.90557036549	18.6593860639259	0.0142376659564916	316.905790081248	-298.246404017322	1310.56495642941	993.659166348167
Austria	928.92338488251	362.165885868482	0.280511885640425	293.075071406551	69.0908144619316	1291.08927075099	998.014199344441
Panama	1096.96908191778	153.636843897402	0.122849924765275	513.62104225345	-359.984198356047	1250.60592581518	736.98488356173
Georgia	1206.2438281998	42.0931878285483	0.0337194101337072	292.575895654969	-250.482707826421	1248.33701602835	955.761120373383
Uganda	1058.0892595537	162.161283325404	0.132891793633457	117.212000972591	44.9492823528126	1220.2505428791	1103.03854190651
Bolivia	1157.60444791988	25.0782142858952	0.0212045167205909	736.609485193156	-711.53127090726	1182.68266220577	446.073177012615
Nigeria	973.669827310368	208.522539984435	0.176386302054711	170.684562451206	37.8379775332287	1182.1923672948	1011.5078048436
Yemen	1096.00039172079	32.1022408753633	0.0284568442159247	964.66664236784	-932.564401492476	1128.10263259616	163.435990228318
Norway	673.14642523881	385.314382370561	0.364032734703544	200.215571749024	185.098810621537	1058.46080760937	858.245235860348
Denmark	848.27897146903	199.949548688717	0.190749960379467	708.679864654317	-508.7303159656	1048.22852015775	339.548655503429
Uruguay	1009.96265948098	33.7111716764048	0.0323004857169032	251.957893429324	-218.246721752919	1043.67383115739	791.715937728062
Samoa	1032.62358961999	5.192576947622	0.00500336872260863	388.578155407682	-383.38557846006	1037.81616656762	649.238011159934
Montenegro	900.787515272386	135.090506213717	0.130411596164491	24.9162001265213	110.174306087196	1035.8780214861	1010.96182135958
Honduras	937.19736827258	85.6052120979875	0.0836967111160125	396.015907396562	-310.410695298575	1022.80258037057	626.786672974005
Pakistan	934.851605880074	85.1698363581672	0.0834980842866189	182.907604010776	-97.7377676526085	1020.02144223824	837.113838227466
Maldives	968.565892844461	19.6656914222986	0.0198998815008427	369.983374753036	-350.317683330737	988.231584266759	618.248209513724
Slovenia	913.561518349685	74.0457447553053	0.0749748888262618	318.594265641645	-244.548520886339	987.60726310499	669.012997463346
Sweden	599.217795116827	380.161757171154	0.388165912064468	414.457949608564	-34.2961924374104	979.379552287981	564.921602679417
Costa Rica	881.835496542975	86.4207005370408	0.0892539606745208	476.805748676881	-390.38504813984	968.256197080016	491.450448403135
Kazakhstan	862.895349211991	104.938952397555	0.108426568704	156.33622530289	-51.3972729053348	967.834301609546	811.498076306656
Albania	909.068996414542	32.6843668427318	0.0347058668627265	122.981585736386	-90.2972188936546	941.753363257274	818.771777520888
Uzbekistan	830.692794795148	106.241670645773	0.113392851436814	113.496674302965	-7.25500365719199	936.934465440921	823.437791137956
Croatia	818.990270274691	107.30286758393	0.115841155675611	350.616624059156	-243.313756475225	926.293137858622	575.676513799466
TFYR Macedonia	881.775357716717	34.1171080153435	0.0372501241049889	200.981033322401	-166.863925307058	915.89246573206	714.911432409659
Angola	733.155619055033	172.990635548718	0.190908073249572	203.193681947887	-30.2030463991687	906.146254603751	702.952572655864
New Zealand	769.144645241089	131.042255146429	0.145572275146436	866.596480252221	-735.554225105792	900.186900387518	33.5904201352969
Sierra Leone	874.683747439645	17.2694334294647	0.0193613676142032	51.068463858217	-33.7990304287523	891.95318086911	840.884717010893
Belgium	383.09083984606	508.800765664317	0.570473768920788	457.504930535331	51.2958351289853	891.891605510376	434.386674975045
Nicaragua	822.294172170572	37.6739610787481	0.0438085547849315	300.084144859575	-262.410183780827	859.96813324932	559.883988389745
Paraguay	816.182132790796	29.2120529012755	0.034554357476875	164.336507278495	-135.124454377219	845.394185692072	681.057678413577
Slovakia	716.416507245041	124.602861456573	0.148156946312589	319.120827225037	-194.517965768464	841.019368701614	521.898541476578
Bangladesh	711.922642057762	109.069778818637	0.132851139724538	207.640689247288	-98.5709104286507	820.992420876399	613.351731629111
Guatemala	701.140678738244	111.364748788066	0.137063390612809	203.254554224201	-91.8898054361343	812.50542752631	609.25087330211
Ghana	781.243416566402	28.624022025615	0.0353440830704082	277.617079678923	-248.993057653308	809.867438592017	532.250358913094
French Polynesia	787.562058762647	13.5105391275138	0.0168655614523545	270.866896332242	-257.356357204728	801.072597890161	530.205701557919
Czech Republic	603.659963315353	196.421086377464	0.245501485696828	393.634601040743	-197.213514663279	800.081049692817	406.446448652074
Iraq	669.419241215102	129.291525389999	0.16187527550123	157.184691499919	-27.8931661099195	798.710766605102	641.526075105183
Laos	740.541966847144	16.465339503251	0.0217505688057781	528.748386146501	-512.28304664325	757.007306350395	228.258920203894
Dominican Republic	699.436318768188	50.4160717763007	0.0672346616641338	121.348347567022	-70.9322757907212	749.852390544489	628.504042977467
Ireland	406.506600751542	340.478066625074	0.455803286861056	328.814015956596	11.664050668478	746.984667376615	418.17065142002
Bosnia and Herzegovina	701.538128040731	40.4494728818536	0.0545150253610153	150.477228727192	-110.027755845338	741.987600922585	591.510372195393
Cuba	700.539663521573	39.562458159402	0.0534554043292631	154.009340210818	-114.446882051416	740.102121680975	586.092781470157
Guinea	724.989758453332	12.9366878224537	0.0175311345564905	176.851629598998	-163.914941776544	737.926446275786	561.074816676788
Haiti	717.791881149635	7.77456365246326	0.0107151642804868	101.680583115667	-93.9060194632038	725.566444802098	623.885861686431
Hungary	626.379105167463	94.2391295712441	0.130775388448802	364.44072508812	-270.201595516875	720.618234738708	356.177509650588
Finland	540.790083371103	174.282367198728	0.243726865801983	159.708725847304	14.5736413514242	715.072450569831	555.363724722527
Oman	603.810791810974	96.7341671474278	0.138084167062248	826.127559878863	-729.393392731436	700.544958958402	-125.582600920461
Benin	666.950354875065	27.5292609278113	0.0396401280921473	58.4082112228498	-30.8789502950385	694.479615802877	636.071404580027
Algeria	623.405267767608	69.488333594054	0.100287163075971	222.793298072182	-153.304964478128	692.893601361662	470.100303289481
Gabon	657.971076519229	21.4216659395024	0.0315306075569444	236.005038687959	-214.583372748457	679.392742458731	443.387703770772
Jamaica	636.247156162746	31.7892095036805	0.0475860464152544	155.103743396699	-123.314533893019	668.036365666427	512.932622269727
Rwanda	584.538902826607	69.2089584926143	0.105864909986788	10.6881322152913	58.5208262773231	653.747861319222	643.05972910393
Gambia	631.80464489013	4.02344325464219	0.00632787907558763	31.1902222922072	-27.166779037565	635.828088144772	604.637865852565
Lithuania	553.947005679831	81.6045022094622	0.128399510026301	98.6051285704598	-17.0006263609976	635.551507889293	536.946379318833
Morocco	584.110779125243	47.1799846366048	0.0747357435668158	474.199224491604	-427.019239854999	631.290763761848	157.091539270245
Kyrgyzstan	580.251389016397	40.1671992596239	0.0647420951252249	209.703395364806	-169.536196105182	620.418588276021	410.715192911215
Qatar	548.656041944399	61.6919171651825	0.101076633819146	224.181586788967	-162.489669623785	610.347959109582	386.166372320615
Lebanon	506.81896782387	94.5061486773193	0.15716314865942	99.5313452305272	-5.02519655320793	601.32511650119	501.793771270663
Zambia	553.376863135956	42.1279874332249	0.0707433153448862	199.913290988654	-157.785303555429	595.504850569181	395.591559580527
Syria	549.503605530597	34.0468786535785	0.0583443585025505	278.041759587824	-243.994880934246	583.550484184176	305.508724596351
Latvia	536.574709266424	42.5184772722423	0.0734225134410268	157.654281919822	-115.13580464758	579.093186538666	421.438904618844
Bahrain	560.067917030305	17.8516081413254	0.0308894359228023	266.327358588576	-248.475750447251	577.91952517163	311.592166583054
Togo	548.009533184581	20.3994341585785	0.0358886564614365	173.371426087804	-152.971991929226	568.408967343159	395.037541255355
Bulgaria	521.999457643367	45.5305596003309	0.0802258175196749	438.223083585501	-392.69252398517	567.530017243698	129.306933658198
Nepal	521.897782273591	43.3852851372212	0.0767496633782797	158.855049406178	-115.469764268957	565.283067410812	406.428018004633
Senegal	539.189818164334	22.6226798584685	0.0402673132728177	266.250810195692	-243.628130337223	561.812498022802	295.56168782711
El Salvador	420.607479657978	141.171947342344	0.251294263473025	89.6556067820638	51.5163405602798	561.779427000321	472.123820218258
Cote dIvoire	546.241956767626	12.4390387646854	0.0222650114540472	388.983279717155	-376.544240952469	558.680995532311	169.697715815157
Congo	530.751528692432	21.0076833786443	0.0380740056877168	226.696896732785	-205.689213354141	551.759212071076	325.062315338291
Mali	520.045567695051	26.1257857596502	0.0478344123952978	58.355381662026	-32.2295959023759	546.171353454702	487.815971792676
Bahamas	525.958457217552	15.3572531444952	0.0283702335818479	196.596998667344	-181.239745522849	541.315710362047	344.718711694703
Malta	516.620047625154	19.0852225217968	0.0356263482652719	119.036587965675	-99.9513654438779	535.705270146951	416.668682181276
Botswana	471.279898174107	54.5053678145632	0.103664692299951	32.564773931168	21.9405938833952	525.78526598867	493.220492057502
Central African Republic	494.820417798124	5.66004215925932	0.0113092170666189	60.372493759729	-54.7124516004696	500.480459957384	440.107966197655
Burundi	483.897254425101	13.5470718080178	0.0272333426950561	26.975887757726	-13.4288159497082	497.444326233119	470.468438475393
Tunisia	442.758229792118	49.6705452930182	0.100868486583528	276.249504321255	-226.578959028237	492.428775085136	216.179270763882
Antigua	485.820139247924	5.58484401274472	0.0113650536787133	87.0753207756206	-81.4904767628759	491.404983260669	404.329662485048
Bhutan	461.517234635539	21.2312648724765	0.0439799707179078	83.4899284644052	-62.2586635919288	482.748499508016	399.258571043611
Belize	459.860331424512	4.55623263865709	0.00981065920387233	309.95890621189	-305.402673573233	464.416564063169	154.457657851279
Burkina Faso	414.370815753005	49.3268083762378	0.106377099664607	33.9454586291686	15.3813497470692	463.697624129243	429.752165500075
Namibia	426.299695925787	34.8948006033897	0.0756617888244513	335.471847012639	-300.577046409249	461.194496529177	125.722649516538
Malawi	414.265992244706	41.5346465129405	0.091124590404589	235.405312477611	-193.87066596467	455.800638757646	220.395326280035
Armenia	434.004549889825	20.7059390963987	0.0455365328003814	94.5013764770702	-73.7954373806715	454.710488986224	360.209112509154
Cyprus	418.572048812173	35.0723232971504	0.0773123738625338	113.338775178418	-78.2664518812671	453.644372109324	340.305596930906
Azerbaijan	415.072259242646	34.6283844076097	0.0770031906704165	116.488779624924	-81.8603952173144	449.700643650256	333.211864025332
South Sudan	441.602149487473	4.01943088136613	0.00901982995984904	45.8152190316468	-41.7957881502807	445.621580368839	399.806361337192
Niger	415.200426527299	26.8311854889616	0.0606996983011582	29.1838535759598	-2.35266808699816	442.031612016261	412.847758440301
Liberia	427.903753043152	6.97624963428825	0.0160417807011988	346.396770933643	-339.420521299355	434.880002677441	88.4832317437977
Brunei	384.901552862488	47.6173758478835	0.110093160523316	393.548099126667	-345.930723278783	432.518928710371	38.9708295837045
Estonia	404.438021005131	27.3233103435487	0.063283365970268	196.051583311521	-168.728272967972	431.76133134868	235.709748037159
Gaza Strip	379.669594991021	52.0645925709978	0.120594092548019	6.78160465788096	45.2829879131168	431.734187562019	424.952582904138
Afghanistan	385.712657976896	30.3544300701469	0.0729556144722384	29.5487279649824	0.805702105164528	416.067088047042	386.51836008206
Barbados	392.517261773348	8.63760049361736	0.0215318354732271	176.384349739179	-167.746749245562	401.154862266965	224.770512527786
Chad	378.230136524886	7.91176848765463	0.0204892770894619	93.2306236857548	-85.3188551981002	386.141905012541	292.911281326786
Bermuda	376.081238122657	8.39267878048122	0.0218289938835971	16.1895948983729	-7.79691611789167	384.473916903138	368.284322004765
British Virgin Islands	376.228687037714	4.60442969296128	0.0120904130724995	171.382043903694	-166.777614210732	380.833116730675	209.451072826982
Libya	336.160484257154	36.8319953940809	0.0987472868850344	138.74358047545	-101.911585081369	372.992479651235	234.248899175785
Turkmenistan	301.226498826407	68.67981642019	0.185668137010326	120.607292147353	-51.9274757271633	369.906315246597	249.299023099244
Greenland	321.810452017933	7.45143581088632	0.0226307267446643	116.617512118071	-109.166076307185	329.261887828819	212.644375710748
Swaziland	299.360085481778	23.3047348354012	0.0722258311658912	141.882957565598	-118.578222730197	322.664820317179	180.781862751581
Lesotho	272.46339464467	42.5384376309812	0.13504187364141	17.34098599758	25.1974516334012	315.001832275651	297.660846278071
Zimbabwe	274.129934272729	37.4730924554169	0.120259077226839	234.45548579935	-196.982393343933	311.603026728146	77.1475409287959
Cape Verde	301.610738600604	6.58170358464122	0.021355824101245	25.9042500499636	-19.3225464653224	308.192442185245	282.288192135282
Suriname	291.043084900826	13.5010497355834	0.0443319972381082	155.575031885877	-142.073982150294	304.54413463641	148.969102750532
Mauritania	274.493318561465	23.067815836519	0.0775229462785491	364.894427964464	-341.826612127945	297.561134397984	-67.3332935664803
Luxembourg	181.36757204216	108.466705718078	0.374236983134913	158.607777037658	-50.1410713195801	289.834277760237	131.22650072258
North Korea	268.877736388706	4.2186258463189	0.0154473893822444	280.382392005064	-276.163766158745	273.096362235025	-7.28602977003902
Liechtenstein	265.814957605675	6.14966448117048	0.0226120016419148	37.5212683873251	-31.3716039061546	271.964622086845	234.44335369952
Tajikistan	227.312340154313	39.2374726058915	0.147205027831667	68.1987440949306	-28.9612714890391	266.549812760204	198.351068665273
Mongolia	250.528057029471	14.011111763306	0.0529642238888313	135.029839321971	-121.018727558665	264.539168792777	129.509329470806
Trinidad and Tobago	185.665627745911	25.7245231354609	0.121692155609922	586.236848134547	-560.512324999087	211.390150881372	-374.846697253175
Andorra	188.927970107645	4.56872427929193	0.0236113815472001	13.0339180994779	-8.46519382018596	193.496694386937	180.462776287459
Sao Tome and Principe	183.154279165901	4.35148358996958	0.023207199213579	38.3673540521413	-34.0158704621717	187.505762755871	149.13840870373
Monaco	138.905861161649	7.29558019712567	0.0499008773738591	24.3599085249007	-17.064328327775	146.201441358775	121.841532833874
Moldova	138.462903156877	4.57019860297441	0.0319520345063038	226.767959039658	-222.197760436684	143.033101759851	-83.7348572798073
Aruba	95.1380175864324	10.9984991978854	0.103625967113992	78.9382011154667	-67.9397019175813	106.136516784318	27.1983156688511
Iceland	87.2202105969191	10.1292760269716	0.10405063630285	148.469673774205	-138.340397747234	97.3494866238907	-51.1201871503145
San Marino	40.758462054655	53.1933163031936	0.566176790188984	0.334208886139095	52.8591074170545	93.9517783578485	93.6175694717094
Macao SAR	41.132610168308	24.7343337386847	0.375519680609605	14.095099831	10.6392339076847	65.8669439069927	51.7718440759927
Ethiopia	2.27649767603725	21.6149241225794	0.904714851412943	906.801588074304	-885.186663951725	23.8914217986166	-882.910166275688
Netherlands Antilles	0	16.8677086113021	1	0	16.8677086113021	16.8677086113021	16.8677086113021
Belarus	7.16019492968917	7.2183684213087	0.502022924342281	515.729671088047	-508.511302666739	14.3785633509979	-501.351107737049
Cayman Islands	0	2.85204588249326	1	0	2.85204588249326	2.85204588249326	2.85204588249326
Former USSR	0	1.76446768920869	1	0	1.76446768920869	1.76446768920869	1.76446768920869
