Consumption_Country	domestic_trade	international_trade	total_trade	international_trade_proportion
Oman	602.071825793013	98.4731331653893	700.544958958402	0.140566471724817
Benin	666.938915797509	27.5407000053674	694.479615802877	0.0396565995296032
Algeria	623.372716391459	69.520884970203	692.893601361662	0.100334141971555
Gabon	657.971076519229	21.4216659395024	679.392742458731	0.0315306075569444
Jamaica	636.247156162746	31.7892095036805	668.036365666427	0.0475860464152544
Rwanda	584.538902826607	69.2089584926143	653.747861319222	0.105864909986788
Gambia	631.80464489013	4.02344325464219	635.828088144772	0.00632787907558763
Lithuania	553.872943321243	81.6785645680502	635.551507889293	0.128516042451555
Morocco	584.042233757675	47.2485300041735	631.290763761848	0.0748443232760456
Kyrgyzstan	580.251389016397	40.1671992596239	620.418588276021	0.0647420951252249
Qatar	548.656041944399	61.6919171651825	610.347959109582	0.101076633819146
Lebanon	506.81896782387	94.5061486773193	601.32511650119	0.15716314865942
Zambia	553.376863135956	42.1279874332249	595.504850569181	0.0707433153448862
Syria	549.457628571428	34.0928556127474	583.550484184176	0.0584231468172122
Latvia	536.444947660901	42.6482388777658	579.093186538666	0.0736465906854841
Bahrain	560.067917030305	17.8516081413254	577.91952517163	0.0308894359228023
Togo	548.009533184581	20.3994341585785	568.408967343159	0.0358886564614365
Bulgaria	521.921525442041	45.6084918016568	567.530017243698	0.0803631357212819
Nepal	521.897782273591	43.3852851372212	565.283067410812	0.0767496633782797
Senegal	539.189818164334	22.6226798584685	561.812498022802	0.0402673132728177
El Salvador	420.499024333432	141.280402666889	561.779427000321	0.251487320248216
Cote dIvoire	546.241956767626	12.4390387646854	558.680995532311	0.0222650114540472
Congo	530.751528692432	21.0076833786443	551.759212071076	0.0380740056877168
Mali	520.045567695051	26.1257857596502	546.171353454702	0.0478344123952978
Bahamas	525.945579720661	15.3701306413859	541.315710362047	0.028394022835779
Malta	516.620047625154	19.0852225217968	535.705270146951	0.0356263482652719
Botswana	471.279898174107	54.5053678145632	525.78526598867	0.103664692299951
Central African Republic	494.820417798124	5.66004215925932	500.480459957384	0.0113092170666189
Burundi	483.897254425101	13.5470718080178	497.444326233119	0.0272333426950561
Tunisia	442.758229792118	49.6705452930182	492.428775085136	0.100868486583528
Antigua	485.820139247924	5.58484401274472	491.404983260669	0.0113650536787133
Bhutan	461.517234635539	21.2312648724765	482.748499508016	0.0439799707179078
Belize	459.860331424512	4.55623263865709	464.416564063169	0.00981065920387233
Burkina Faso	414.352066635154	49.345557494089	463.697624129243	0.106417533595849
Namibia	426.289639137685	34.9048573914915	461.194496529177	0.0756835947830599
Malawi	414.265992244706	41.5346465129405	455.800638757646	0.091124590404589
Armenia	434.004549889825	20.7059390963987	454.710488986224	0.0455365328003814
Cyprus	418.572048812173	35.0723232971504	453.644372109324	0.0773123738625338
Azerbaijan	415.072259242646	34.6283844076097	449.700643650256	0.0770031906704165
South Sudan	441.602149487473	4.01943088136613	445.621580368839	0.00901982995984904
Niger	415.200426527299	26.8311854889616	442.031612016261	0.0606996983011582
Liberia	427.903753043152	6.97624963428825	434.880002677441	0.0160417807011988
Brunei	384.869218184613	47.6497105257586	432.518928710371	0.110167919512411
Estonia	404.422164243646	27.339167105034	431.76133134868	0.0633200917266849
Gaza Strip	379.669594991021	52.0645925709978	431.734187562019	0.120594092548019
Afghanistan	385.712657976896	30.3544300701469	416.067088047042	0.0729556144722384
Barbados	392.517261773348	8.63760049361736	401.154862266965	0.0215318354732271
Chad	378.230136524886	7.91176848765463	386.141905012541	0.0204892770894619
Bermuda	376.081238122657	8.39267878048122	384.473916903138	0.0218289938835971
British Virgin Islands	376.228687037714	4.60442969296128	380.833116730675	0.0120904130724995
Libya	336.1213524919	36.8711271593347	372.992479651235	0.0988521998990728
Turkmenistan	301.181836274453	68.7244789721444	369.906315246597	0.18578887718186
Greenland	321.770273464732	7.49161436408758	329.261887828819	0.0227527528724564
Swaziland	299.360085481778	23.3047348354012	322.664820317179	0.0722258311658912
Lesotho	272.46339464467	42.5384376309812	315.001832275651	0.13504187364141
Zimbabwe	274.129934272729	37.4730924554169	311.603026728146	0.120259077226839
Cape Verde	301.610738600604	6.58170358464122	308.192442185245	0.021355824101245
Suriname	291.043084900826	13.5010497355834	304.54413463641	0.0443319972381082
Mauritania	274.493318561465	23.067815836519	297.561134397984	0.0775229462785491
Luxembourg	181.004981353879	108.829296406358	289.834277760237	0.375488010760364
North Korea	268.877736388706	4.2186258463189	273.096362235025	0.0154473893822444
Liechtenstein	265.814957605675	6.14966448117048	271.964622086845	0.0226120016419148
Tajikistan	227.312340154313	39.2374726058915	266.549812760204	0.147205027831667
Mongolia	250.528057029471	14.011111763306	264.539168792777	0.0529642238888313
Trinidad and Tobago	185.650925373659	25.7392255077139	211.390150881372	0.121761706495768
Andorra	188.927970107645	4.56872427929193	193.496694386937	0.0236113815472001
Sao Tome and Principe	183.154279165901	4.35148358996958	187.505762755871	0.023207199213579
Monaco	138.905861161649	7.29558019712567	146.201441358775	0.0499008773738591
Moldova	138.462903156877	4.57019860297441	143.033101759851	0.0319520345063038
Aruba	95.1380175864324	10.9984991978854	106.136516784318	0.103625967113992
Iceland	87.2202105969191	10.1292760269716	97.3494866238907	0.10405063630285
San Marino	40.758462054655	53.1933163031936	93.9517783578485	0.566176790188984
Macao SAR	41.132610168308	24.7343337386847	65.8669439069927	0.375519680609605
Ethiopia	2.27649767603725	21.6149241225794	23.8914217986166	0.904714851412943
Netherlands Antilles	0	16.8677086113021	16.8677086113021	1
Belarus	7.16019492968917	7.2183684213087	14.3785633509979	0.502022924342281
Cayman Islands	0	2.85204588249326	2.85204588249326	1
Former USSR	0	1.76446768920869	1.76446768920869	1
