Consumption_Country	domestic_trade	international_trade	total_trade	international_trade_proportion
USA	9715.26105102897	13171.1313752588	22886.3924262878	0.575500547658624
Japan	9119.8487155633	6665.21319037396	15785.0619059373	0.422248150187296
China	4602.04802832194	8779.41363552306	13381.461663845	0.656087791907211
India	11103.3974395487	1682.4443317242	12785.8417712729	0.13158651278669
Thailand	9610.96199822892	1196.19457288645	10807.1565711154	0.110685411561776
Indonesia	7947.7547179386	1276.73122373037	9224.48594166897	0.138406761287705
Australia	6427.51692226715	2033.10020744801	8460.61712971516	0.240301644227276
Taiwan	7015.86949251033	250.278144774027	7266.14763728436	0.034444406756861
Malaysia	5952.93735156674	1172.90285439044	7125.84020595718	0.164598534417022
Philippines	5508.40327665862	317.812516330741	5826.21579298936	0.0545487032445936
Singapore	4023.851635186	1483.11406851094	5506.96570369694	0.269316016897526
Mexico	4821.58487379458	661.212150772102	5482.79702456668	0.120597597870105
Brazil	3857.91410373338	1448.96585205104	5306.87995578442	0.27303535488337
France	1889.46216646675	3260.45996867493	5149.92213514168	0.633108595259418
Russia	2701.19528621528	2124.58710244019	4825.78238865547	0.44025754402741
Spain	2720.8927984396	1977.31337734032	4698.20617577992	0.420865603458129
Germany	819.367118071765	3840.62787880655	4659.99499687832	0.824169957559901
Ecuador	4542.69043844379	90.7719186125323	4633.46235705633	0.0195905160369535
Viet Nam	4254.88670691289	349.86364755407	4604.75035446696	0.0759788524072049
Mauritius	4401.69130472932	147.202962307259	4548.89426703658	0.0323601635179699
Italy	1924.87661272939	2502.69459844846	4427.57121117786	0.565252252099335
Colombia	4017.90905916225	359.435692789033	4377.34475195128	0.082112722016882
UK	997.750765460543	3252.47034996562	4250.22111542616	0.765247327523923
Peru	3819.35180013161	202.721638989635	4022.07343912125	0.0504022718774439
Kenya	3853.11744033545	125.575634528883	3978.69307486434	0.031562031090615
Iran	3609.58364830352	347.777132022195	3957.36078032572	0.0878810781547115
Venezuela	3468.31563760526	256.966615141369	3725.28225274663	0.0689790994902223
South Africa	2980.3376148548	445.586013630033	3425.92362848483	0.130063031739882
South Korea	935.48309115041	2296.60630916245	3232.08940031286	0.710563980359003
Canada	1746.02105266321	1391.62940906268	3137.65046172589	0.44352595231312
Turkey	2433.89097873773	648.011952986941	3081.90293172467	0.210263583033845
Hong Kong	312.727093663998	2701.20341879781	3013.93051246181	0.896239447999563
Israel	2770.75947714131	226.821146978065	2997.58062411938	0.0756680721622626
Saudi Arabia	1413.56630807556	1247.78468836937	2661.35099644493	0.468853860327397
Myanmar	2389.20314099733	3.44220127910376	2392.64534227643	0.00143865921884969
Madagascar	2282.87547252327	75.1461095446721	2358.02158206794	0.0318682874305036
Greece	2000.67319634836	357.229818957858	2357.90301530622	0.151503185940608
Tanzania	2128.05156285875	53.1755602508783	2181.22712310962	0.0243787360277593
Switzerland	1335.98835265264	827.480144627392	2163.46849728003	0.382478481044546
Mozambique	2117.00161040947	27.5626526605338	2144.56426307	0.012852332352623
Portugal	1722.17037993018	376.575664710253	2098.74604464043	0.179428885963557
Somalia	2059.02637409233	3.86275526601821	2062.88912935834	0.00187249775620259
Sudan	2008.44518023171	3.10286559350789	2011.54804582521	0.00154252621504498
Serbia	926.440846372396	1082.27097125258	2008.71181762498	0.538788571738587
Egypt	1719.98650328442	142.254089050926	1862.24059233535	0.0763886737494708
New Caledonia	1843.34637535177	12.423254349269	1855.76962970104	0.00669439468694739
Cambodia	1769.88328576367	38.2732376167551	1808.15652338043	0.0211669936323884
Chile	1548.13914579153	214.040791809559	1762.17993760109	0.121463641278847
Papua New Guinea	1723.79313921463	27.4748204350471	1751.26795964967	0.015688530292385
Eritrea	1704.96139855217	5.15918930340558	1710.12058785558	0.00301685702168816
Argentina	1436.53653505351	243.971238982864	1680.50777403638	0.14517709632302
Jordan	1547.82881491911	119.410972247832	1667.23978716694	0.0716219545424482
Kuwait	1373.46999695059	272.669171831571	1646.13916878216	0.165641627999956
Netherlands	532.102749390528	1081.6990239853	1613.80177337583	0.670279982232608
Sri Lanka	1460.79188404512	149.153699564748	1609.94558360986	0.0926451807335693
Seychelles	1464.0735888565	14.8710610363632	1478.94464989286	0.0100551843082434
DR Congo	1335.97860775236	138.888755334541	1474.8673630869	0.0941703361337162
Djibouti	1467.97504433896	4.92501997388899	1472.90006431285	0.00334375704993037
UAE	724.861748490483	746.34871008154	1471.21045857202	0.507302477176485
Poland	945.26013759803	461.289862327278	1406.54999992531	0.327958382106412
Romania	1228.73127224855	159.640868416056	1388.37214066461	0.114984206136286
Guyana	515.820824326016	836.593239877373	1352.41406420339	0.618592531696386
Ukraine	1050.93108254112	296.148807357065	1347.07988989819	0.219845021500134
Vanuatu	1327.81492771301	5.84545261505991	1333.66038032807	0.0043830143725361
Fiji	1302.5602187505	10.1352531975135	1312.69547194801	0.00772094778575949
Cameroon	1291.90557036549	18.6593860639259	1310.56495642941	0.0142376659564916
Austria	928.328312163241	362.760958587751	1291.08927075099	0.280972793133617
Panama	1096.79468503781	153.811240777373	1250.60592581518	0.122989374672213
Georgia	1206.21558815427	42.1214278740808	1248.33701602835	0.0337420322663285
Uganda	1058.06900207512	162.181540803984	1220.2505428791	0.132908394714848
Bolivia	1157.54111320432	25.1415490014479	1182.68266220577	0.021258068461541
Nigeria	973.669827310368	208.522539984435	1182.1923672948	0.176386302054711
Yemen	1095.90543711651	32.1971954796463	1128.10263259616	0.0285410161711522
Norway	672.961411025375	385.499396583997	1058.46080760937	0.364207530229373
Denmark	847.463686577976	200.764833579771	1048.22852015775	0.191527734381391
Uruguay	1009.94058711454	33.7332440428436	1043.67383115739	0.0323216344376815
Samoa	1032.62358961999	5.192576947622	1037.81616656762	0.00500336872260863
Montenegro	900.787515272386	135.090506213717	1035.8780214861	0.130411596164491
Honduras	937.022621025331	85.7799593452364	1022.80258037057	0.0838675625106047
Pakistan	934.851605880074	85.1698363581672	1020.02144223824	0.0834980842866189
Maldives	968.500451567583	19.7311326991767	988.231584266759	0.0199661020891339
Slovenia	913.275303268805	74.331959836185	987.60726310499	0.0752646954038074
Sweden	594.409080360085	384.970471927896	979.379552287981	0.39307587240161
