threatened_species	threat_intensity
Odorrana versabilis	0.318628162145615
Bangana yunnanensis	0.318628162145615
Nanorana minica	0.318628162145615
Quasipaa shini	0.318628162145615
Parachiloglanis hodgarti	0.318628162145615
Ardea intermedia	0.31867191195488
Rotala ramosior	0.318628162145615
Raiamas guttatus	0.318715691566467
Pachytriton labiatus	0.31867191195488
Barbodes semifasciolatus	0.318628162145615
Nihonogomphus shaowuensis	0.318628162145615
Quasipaa spinosa	0.318715691566467
Aythya nyroca	0.318715691566467
Sinogomphus telamon	0.318628162145615
Lyriothemis tricolor	0.318628162145615
Glyptothorax fokiensis	0.318628162145615
Scaphiodonichthys macracanthus	0.318628162145615
Falco columbarius	0.132313698530197
Cypripedium tibeticum	0.132357448339462
Angulyagra polyzonata	0.318628162145615
Megophrys mangshanensis	0.31867191195488
Lanceolaria cylindrica	0.318628162145615
Locustella pryeri	0.31867191195488
Limnonectes fujianensis	0.31867191195488
Zapornia parva	0.637256324291229
Balitora longibarbata	0.318628162145615
Platysmacheilus exiguus	0.318628162145615
Spinibarbus denticulatus	0.318628162145615
Sieboldius alexanderi	0.450898110866547
Acipenser schrenckii	0.31867191195488
Batrachuperus londongensis	0.31867191195488
Acipenser nudiventris	0.318715691566467
Herpestes urva	0.132444962859154
Limnonectes fragilis	0.31867191195488
Hainania serrata	0.318628162145615
Lamprotula bazini	0.318628162145615
Boyeria sinensis	0.450898110866547
Hyriopsis cumingii	0.318628162145615
Hemiculterella sauvagei	0.318628162145615
Hieraaetus pennatus	0.318715691566467
Macaca arctoides	0.451029390096664
Anthropoides virgo	0.637300074100494
Schistura kengtungensis	0.318628162145615
Micronemacheilus taeniatus	0.318628162145615
Calidris falcinellus	0.637300074100494
Pisidium yarkandense	0.637256324291229
Dendrocalamus membranaceus	0.318715691566467
Batrachuperus pinchonii	0.318628162145615
Rana amurensis	0.318628162145615
Amphigomphus hansoni	0.318628162145615
Cristaria plicata	0.318628162145615
Odorrana tormota	0.31867191195488
Batrachuperus tibetanus	0.318628162145615
Limosa lapponica	0.318715691566467
Selysiothemis nigra	0.31867191195488
Sylvirana spinulosa	0.31867191195488
Onychostoma gerlachi	0.318628162145615
Spatula querquedula	0.31867191195488
Xenocypris macrolepis	0.318628162145615
Amolops torrentis	0.318715691566467
Panthera tigris	0.318846940994263
Placocheilus caudofasciatus	0.318628162145615
Neophron percnopterus	0.132357448339462
Bulbophyllum leopardinum	0.318628162145615
Philosina buchi	0.450898110866547
Salanx chinensis	0.318628162145615
Hypophthalmichthys harmandi	0.318628162145615
